"Player","Tm","Att 20","Yds 20","TD 20","%Rush 20","Att 10","Yds 10","TD 10","%Rush 10","Att 5","Yds 5","TD 5","%Rush 5"
"Ezekiel Elliott","DAL","59","162","11","77.6%","31","57","11","77.5%","12","18","9","80.0%"
"Christian McCaffrey","CAR","54","143","11","80.6%","32","62","10","80.0%","17","15","8","81.0%"
"Todd Gurley","LAR","51","139","12","63.0%","29","50","11","55.8%","12","12","6","54.5%"
"Nick Chubb","CLE","50","82","6","74.6%","32","12","4","74.4%","15","-14","2","78.9%"
"Dalvin Cook","MIN","43","114","12","47.8%","32","62","11","52.5%","15","22","9","62.5%"
"Leonard Fournette","JAX","43","58","3","69.4%","23","14","3","76.7%","8","-2","3","100.0%"
"Derrick Henry","TEN","42","144","13","76.4%","24","52","10","82.8%","10","10","7","83.3%"
"Josh Jacobs","OAK","41","131","7","65.1%","21","31","5","61.8%","10","14","5","52.6%"
"Sony Michel","NWE","41","67","7","51.2%","27","38","6","50.0%","12","14","5","46.2%"
"Mark Ingram","BAL","40","130","10","38.5%","26","43","9","45.6%","15","14","8","53.6%"
"Joe Mixon","CIN","40","95","5","71.4%","25","38","5","75.8%","16","12","4","76.2%"
"Chris Carson","SEA","39","102","7","56.5%","20","24","6","55.6%","9","1","5","52.9%"
"Aaron Jones","GNB","33","116","14","60.0%","19","37","11","61.3%","13","14","8","72.2%"
"David Montgomery","CHI","33","64","6","64.7%","23","36","5","69.7%","14","11","5","87.5%"
"Carlos Hyde","HOU","32","83","5","52.5%","16","30","5","53.3%","8","9","4","42.1%"
"Marlon Mack","IND","32","91","7","44.4%","17","34","6","43.6%","8","4","3","42.1%"
"Melvin Gordon","LAC","30","73","8","51.7%","20","32","7","55.6%","13","15","6","61.9%"
"Saquon Barkley","NYG","28","74","3","59.6%","16","33","3","53.3%","7","-1","1","53.8%"
"Tevin Coleman","SFO","27","67","5","35.1%","15","15","3","37.5%","8","4","3","36.4%"
"Phillip Lindsay","DEN","27","76","5","45.8%","12","25","5","41.4%","8","14","5","57.1%"
"Lamar Jackson","BAL","26","93","5","25.0%","14","36","5","24.6%","5","4","3","17.9%"
"Alvin Kamara","NOR","26","94","4","37.7%","14","26","3","38.9%","7","7","3","53.8%"
"Alexander Mattison","MIN","26","111","1","28.9%","14","40","1","23.0%","2","1","0","8.3%"
"Frank Gore","BUF","25","35","2","36.8%","18","4","2","54.5%","11","0","2","61.1%"
"Miles Sanders","PHI","25","70","2","33.3%","14","27","2","35.0%","6","-1","2","28.6%"
"Royce Freeman","DEN","24","66","3","40.7%","13","13","3","44.8%","4","6","3","28.6%"
"Latavius Murray","NOR","23","79","3","33.3%","14","42","3","38.9%","3","6","2","23.1%"
"Adrian Peterson","WAS","23","63","5","52.3%","11","19","4","52.4%","7","3","3","50.0%"
"Peyton Barber","TAM","22","56","6","39.3%","13","17","4","36.1%","8","5","4","40.0%"
"Kenyan Drake","2TM","22","64","7"," ","13","27","6"," ","6","9","5"," "
"Jordan Howard","PHI","22","86","6","29.3%","12","25","5","30.0%","8","12","5","38.1%"
"Josh Allen","BUF","21","74","9","30.9%","11","39","8","33.3%","5","7","5","27.8%"
"Gus Edwards","BAL","20","50","1","19.2%","10","5","0","17.5%","6","2","0","21.4%"
"Devonta Freeman","ATL","20","73","2","36.4%","3","2","0","14.3%","1","0","0","9.1%"
"Kerryon Johnson","DET","20","32","3","39.2%","15","17","3","42.9%","9","6","3","64.3%"
"Benny Snell","PIT","20","48","2","33.9%","10","0","2","30.3%","3","4","2","23.1%"
"Le'Veon Bell","NYJ","19","44","3","59.4%","9","23","3","69.2%","5","5","3","71.4%"
"Ronald Jones","TAM","18","53","6","32.1%","10","29","6","27.8%","2","8","2","10.0%"
"LeSean McCoy","KAN","18","40","4","26.9%","12","22","4","34.3%","7","8","3","41.2%"
"Devin Singletary","BUF","18","64","2","26.5%","3","6","1","9.1%","2","4","1","11.1%"
"Kyler Murray","ARI","17","56","3","29.3%","7","9","2","25.9%","3","-5","0","21.4%"
"Kalen Ballage","MIA","16","35","3","27.1%","12","15","3","36.4%","7","5","3","46.7%"
"Austin Ekeler","LAC","16","19","3","27.6%","11","12","3","30.6%","7","4","2","33.3%"
"Ryan Fitzpatrick","MIA","16","46","4","27.1%","8","17","2","24.2%","4","-5","1","26.7%"
"Jeff Wilson","SFO","16","41","4","20.8%","10","26","4","25.0%","5","11","4","22.7%"
"Malcolm Brown","LAR","15","45","5","18.5%","10","22","5","19.2%","6","7","3","27.3%"
"David Johnson","ARI","15","26","2","25.9%","7","11","2","25.9%","5","4","2","35.7%"
"Damien Williams","KAN","15","34","3","22.4%","8","15","3","22.9%","3","5","2","17.6%"
"Raheem Mostert","SFO","14","87","6","18.2%","6","15","3","15.0%","5","5","2","22.7%"
"Dak Prescott","DAL","14","46","3","18.4%","9","31","3","22.5%","3","7","1","20.0%"
"Deshaun Watson","HOU","14","38","6","23.0%","8","18","6","26.7%","6","12","5","31.6%"
"James Conner","PIT","13","38","4","22.0%","7","14","3","21.2%","5","5","2","38.5%"
"DeAndre Washington","OAK","13","37","3","20.6%","7","13","2","20.6%","3","4","1","15.8%"
"James White","NWE","13","28","1","16.3%","6","11","1","11.1%","3","2","1","11.5%"
"Mike Boone","MIN","12","39","3","13.3%","9","32","3","14.8%","2","3","2","8.3%"
"Jacoby Brissett","IND","12","33","4","16.7%","7","16","4","17.9%","3","4","2","15.8%"
"Qadree Ollison","ATL","12","29","4","21.8%","8","13","4","38.1%","5","7","4","45.5%"
"Boston Scott","PHI","12","47","5","16.0%","8","31","5","20.0%","4","10","4","19.0%"
"Jamaal Williams","GNB","12","28","1","21.8%","5","7","1","16.1%","2","-2","1","11.1%"
"Russell Wilson","SEA","12","59","3","17.4%","6","12","2","16.7%","4","2","1","23.5%"
"Tom Brady","NWE","11","8","3","13.8%","10","9","3","18.5%","5","5","3","19.2%"
