Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value
Christian McCaffrey,RB,CAR,LV,10000,9.2,-8.46,29.3,11.59
Michael Thomas,WR,NO,TB,9000,9.4,-8.34,29.3,11.53
Lamar Jackson,QB,BAL,CLE,8500,13.8,-10.29,37.6,13.5
Saquon Barkley,RB,NYG,PIT,8500,6.4,-8.69,26.4,11.38
Deshaun Watson,QB,HOU,@KC,8300,8.7,-14.84,32.5,8.98
Tyreek Hill,WR,KC,HOU,8200,6.2,-9.94,26.8,10.68
Patrick Mahomes,QB,KC,HOU,8000,12.6,-10,35.5,12.84
Ezekiel Elliott,RB,DAL,@LAR,8000,6.8,-7.38,26.8,12.6
Russell Wilson,QB,SEA,@ATL,7900,8.5,-13.84,31,8.68
Alvin Kamara,RB,NO,TB,7900,6.4,-7.59,25.2,11.26
Dalvin Cook,RB,MIN,GB,7900,6.1,-7.84,25.9,11.92
JuJu Smith-Schuster,WR,PIT,@NYG,7900,5.1,-10.44,24.6,9.03
Julio Jones,WR,ATL,SEA,7800,7.4,-8,27.2,11.79
Derrick Henry,RB,TEN,@DEN,7800,5,-8.81,24.4,10.58
D.J. Chark,WR,JAX,IND,7700,4.2,-10.95,23.8,8.6
Amari Cooper,WR,DAL,@LAR,7600,4.1,-10.83,24,9.04
Davante Adams,WR,GB,@MIN,7500,7.3,-7.45,27.8,13.01
Aaron Rodgers,QB,GB,@MIN,7200,7.3,-13.1,29.2,8.8
George Kittle,TE,SF,ARI,7200,6.1,-7.01,22.5,9.4
Mark Ingram,RB,BAL,CLE,7200,2.7,-10.08,22,9.22
Chris Godwin,WR,TB,@NO,7100,6.1,-7.89,26.3,12.35
Austin Ekeler,RB,LAC,@CIN,7000,6.9,-5.51,25.5,13.1
Travis Kelce,TE,KC,HOU,7000,6.6,-6.1,23.5,10.71
Aaron Jones,RB,GB,@MIN,7000,5.1,-7.34,24.4,12.01
Clyde Edwards-Helaire,RB,KC,HOU,7000,4.2,-8.24,23.8,11.38
Will Fuller,WR,HOU,@KC,7000,3.7,-10.07,23.5,9.68
Dak Prescott,QB,DAL,@LAR,6900,9.2,-10.33,32.1,12.55
Mike Evans,WR,TB,@NO,6900,4.8,-8.8,24.9,11.31
Drew Brees,QB,NO,TB,6800,10.1,-9.14,31.2,11.94
DeAndre Hopkins,WR,ARI,@SF,6800,5.8,-7.6,25.5,12.11
Josh Jacobs,RB,LV,@CAR,6800,4.6,-7.44,24.3,12.22
Sony Michel,RB,NE,MIA,6800,1.5,-10.51,19.6,7.52
Matt Ryan,QB,ATL,SEA,6700,8.2,-10.74,30.2,11.28
Ryan Fitzpatrick,QB,MIA,@NE,6700,5.7,-13.23,28.6,9.65
Joe Mixon,RB,CIN,LAC,6700,4.5,-7.35,24.2,12.33
Adam Thielen,WR,MIN,GB,6700,3.9,-9.28,23.9,10.67
D.J. Moore,WR,CAR,LV,6600,5.4,-7.63,25.2,12.18
James Conner,RB,PIT,@NYG,6600,4.2,-7.46,23.4,11.75
DeVante Parker,WR,MIA,@NE,6600,2,-11.03,21.5,8.49
Tom Brady,QB,TB,@NO,6500,9,-9.42,29.9,11.55
Josh Allen,QB,BUF,NYJ,6500,7.6,-10.84,31.2,12.83
Allen Robinson,WR,CHI,@DET,6500,5.6,-7.18,26.1,13.26
Robert Woods,WR,LAR,DAL,6500,4.8,-8,24.5,11.71
Tyler Lockett,WR,SEA,@ATL,6500,4.1,-8.66,24,11.2
Nick Chubb,RB,CLE,@BAL,6500,4.1,-7.4,22.4,10.89
